ClinicServiceID,ServiceID,Service,ClinicID,Clinic,Suburb,State,Email,Lat,Lon
1,1,General Practitioner,1,Hurstville Clinic,Hurstville,NSW,hurstville@myclinic.com.au,-33.975869,151.088939
2,2,Pathology,1,Hurstville Clinic,Hurstville,NSW,hurstville@myclinic.com.au,-33.975869,151.088939
3,1,General Practitioner,2,Sydney Centre Clinic,Sydney,NSW,sydney@myclinic.com.au,-33.867139,151.207114
4,2,Pathology,2,Sydney Centre Clinic,Sydney,NSW,sydney@myclinic.com.au,-33.867139,151.207114
5,3,Radiology,2,Sydney Centre Clinic,Sydney,NSW,sydney@myclinic.com.au,-33.867139,151.207114
6,4,Psychiatry,2,Sydney Centre Clinic,Sydney,NSW,sydney@myclinic.com.au,-33.867139,151.207114
7,5,Chiropratic,2,Sydney Centre Clinic,Sydney,NSW,sydney@myclinic.com.au,-33.867139,151.207114
8,1,General Practitioner,3,Auburn Clinic,Auburn,NSW,auburn@myclinic.com.au,-33.849322,151.033421
9,2,Pathology,3,Auburn Clinic,Auburn,NSW,auburn@myclinic.com.au,-33.849322,151.033421
10,1,General Practitioner,4,Riverwood Clinic,Riverwood,NSW,riverwood@myclinic.com.au,-33.949859,151.052469
11,4,Psychiatry,4,Riverwood Clinic,Riverwood,NSW,riverwood@myclinic.com.au,-33.949859,151.052469
12,5,Chiropratic,4,Riverwood Clinic,Riverwood,NSW,riverwood@myclinic.com.au,-33.949859,151.052469
13,2,Pathology,5,Fingal Bay Clinic,Fingal Bay,NSW,fingalbay@myclinic.com.au,-32.748113,152.170141
14,3,Radiology,6,Harrington Clinic,Harrington,NSW,harrington@myclinic.com.au,-31.872153,152.689811
15,1,General Practitioner,7,Back Forest Clinic,Back Forest,NSW,backforest@myclinic.com.au,-34.853655,150.678507
16,2,Pathology,7,Back Forest Clinic,Back Forest,NSW,backforest@myclinic.com.au,-34.853655,150.678507
17,5,Chiropratic,7,Back Forest Clinic,Back Forest,NSW,backforest@myclinic.com.au,-34.853655,150.678507
18,1,General Practitioner,8,Jindabyne Clinic,Jindabyne,NSW,jindabyne@myclinic.com.au,-36.415074,148.618871
19,2,Pathology,8,Jindabyne Clinic,Jindabyne,NSW,jindabyne@myclinic.com.au,-36.415074,148.618871
20,3,Radiology,8,Jindabyne Clinic,Jindabyne,NSW,jindabyne@myclinic.com.au,-36.415074,148.618871
21,1,General Practitioner,9,Benolong Clinic,Benolong,NSW,benolong@myclinic.com.au,-32.413736,148.63938
22,4,Psychiatry,9,Benolong Clinic,Benolong,NSW,benolong@myclinic.com.au,-32.413736,148.63938
23,1,General Practitioner,10,Melbourne Centre Clinic,Melbourne,VIC,melbourne@myclinic.com.au,-37.814563,144.970267
24,2,Pathology,10,Melbourne Centre Clinic,Melbourne,VIC,melbourne@myclinic.com.au,-37.814563,144.970267
25,3,Radiology,10,Melbourne Centre Clinic,Melbourne,VIC,melbourne@myclinic.com.au,-37.814563,144.970267
26,4,Psychiatry,10,Melbourne Centre Clinic,Melbourne,VIC,melbourne@myclinic.com.au,-37.814563,144.970267
27,5,Chiropratic,10,Melbourne Centre Clinic,Melbourne,VIC,melbourne@myclinic.com.au,-37.814563,144.970267
28,2,Pathology,11,Preston Clinic,Preston,VIC,preston@myclinic.com.au,-37.738736,145.000515
29,3,Radiology,12,Petticoat Creek Clinic,Petticoat Creek,VIC,petticoatcreek@myclinic.com.au,-38.718949,143.725959
30,1,General Practitioner,13,Douglas Clinic,Douglas,VIC,douglas@myclinic.com.au,-37.842988,144.892631
31,4,Psychiatry,13,Douglas Clinic,Douglas,VIC,douglas@myclinic.com.au,-37.842988,144.892631
32,1,General Practitioner,14,Mildura Clinic,Mildura,VIC,mildura@myclinic.com.au,-34.181714,142.163072
33,5,Chiropratic,14,Mildura Clinic,Mildura,VIC,mildura@myclinic.com.au,-34.181714,142.163072
34,1,General Practitioner,15,Broadford Clinic,Broadford,VIC,broadford@myclinic.com.au,-37.203001,145.050171
35,1,General Practitioner,16,Officer Clinic,Officer,VIC,officer@myclinic.com.au,-38.063056,145.40958
36,2,Pathology,16,Officer Clinic,Officer,VIC,officer@myclinic.com.au,-38.063056,145.40958
37,1,General Practitioner,17,Nowa Nowa Clinic,Nowa Nowa,VIC,nowanowa@myclinic.com.au,-37.733238,148.089423
38,2,Pathology,17,Nowa Nowa Clinic,Nowa Nowa,VIC,nowanowa@myclinic.com.au,-37.733238,148.089423
